CONFERENCE_ID,CENTER_ID,CONFERENCE_NAME,CONFERENCE_TIME,CONFERENCE_AMOUNT,CONFERENCE_NUM
1,1,LH남부권주거복지지사 마이홈 스터디룸(5개),매주 월~금(9~12시),무료,1~5명
2,2,강동오랑 스튜디오,최대4시간,무료,최소2명~최대6명
3,2,강동오랑 오랑홀 ,최대4시간,무료,최소10명~최대50명
4,2,강동오랑 강의실,최대4시간,무료,최소8명~최대25명
5,4,영풍문고김포공항점,매일 오전10시 30 ~ 오후10시,무료,
6,5,곰달래도서관 스터디룸,월~금 10:00~17:00,무료,4인실
7,6,커피랑도서관 강서본점 세미나A3,월-금 9시-12시 (한팀당 2시간),무료,4인
8,7,서울청년센터 강서오랑 로비,최대2시간,30000,최소1명~최대30명
9,7,"서울청년센터 강서오랑 스튜디오랑 1, 2 ",최대2시간,10000,최소1명~최대5명
10,7,서울청년센터 강서오랑 회의오랑3,최대2시간,20000,최소1명~최대16명
11,8,비즈액티브 신림 대회의실,수 15:00-18:00,무료,3~12명
12,8,비즈액티브 신림 소회의실,수 15:00-18:00,무료,2~5명
13,9,청년공간 이음 세미나룸,월-금 10:00-21:00 토 10:00-18:00 (최대3시간),시간당 만원,
14,10,관악오랑 모여랑,10~13시/ 14~17시/ 18시~21시,무료,2인~4인
15,10,관악오랑 이루어랑,10~13시/ 14~17시/ 18시~21시 (매주 토요일 대관),무료,4인~10인
16,10,관악오랑 신림동쓰리룸 [서재] 대관,"월 10:00 ~ 18:00, 화 ~ 토 10:00 ~ 22:00 최대4시간",무료,1명
17,10,관악오랑 신림동쓰리룸 2023월 [공방],"월 10:00 ~ 18:00, 화 ~ 토 10:00 ~ 22:00 (최대4시간)",2시간 10000원(초과시간당 5000원),1명
18,10,관악오랑 신림동쓰리룸 [라운지] 대관,"월 10:00 ~ 18:00, 화 ~ 토 10:00 ~ 22:00 (최대4시간)",무료,1명
19,11,서울청년센터광진오랑 모여보소,매주 화 16:00~18:00,무료,10명
20,12,동부여성발전센터 대강당,"평일 09:00~22:00, 토요일 09:00~18:00",30000원(1시간),100명
21,12,"동부여성발전센터 강의실 (1, 2, 3, 4)","평일 09:00~22:00, 토요일 09:00~18:00",15000원(1시간),15명
22,13,청춘삘딩 2층 세미나실,"평일 오전10:00~오후08:00, 토요일 오전 10:00 ~오후 6:00 (최대4시간)",무료,3명~10명
23,13,청춘삘딩 3층 공유주방,"평일 오전10:00~오후08:00, 토요일 오전 10:00 ~오후 6:00 (최대4시간)",무료,3명~6명
24,13,청춘삘딩 다목적 스튜디오,"평일 오전10:00~오후08:00, 토요일 오전 10:00 ~오후 6:00 (최대4시간)",무료,3~6명
25,14,서울청년센터 금천 오랑 회의실,10시 - 22시 / 토요일 10시 - 17시 (최대8시간),"시간당 5,000원",최대 10명
26,14,서울청년센터 금천 오랑 멀티미디어실,10시 - 22시 / 토요일 10시 - 17시 (최대4시간),"시간당 5,000원",1명
27,15,스터디북킹 민간운영 스터디 카페 스터디룸(G1룸),"화요일, 목요일 10:00~18:00",무료,3~6명
28,17,서울청년센터 노원오랑 해보다,최대2시간,무료,1명
29,17,서울청년센터 노원오랑 배우다,최대2시간,무료,최소1명~최대11명
30,17,서울청년센터 노원오랑 함께하다,최대2시간,무료,최소1명~최대6명
31,18,도봉문화정보도서관 문화마루,09:00~22:00 (최대3시간),"50,000 원 3시간당",60 명
32,18,도봉문화정보도서관 나눔터,09:00~22:00 (최대3시간),"30,000 원 3시간당",30 명
