CENTER_ID,REGION_ID,CENTER_NAME,CENTER_TYPE,CENTER_ADDRESS,CENTER_HOMEPAGE,CENTER_CONTACT,CENTER_TIME
1,1,LH남부권주거복지지사,순수공간,"서울 강남구 선릉로 514 (삼성동, 성원빌딩) 1층",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1220,02-2182-2793,"평일(월-금) 09:00~18:00 2,4째주 토 10:00~17:00"
2,2,서울청년센터 강동오랑,통합지원형,서울 강동구 올림픽로 796 4층,https://blog.naver.com/gangdong_orang,070-7709-2031,평일(월-금) 10:00~22:00 토:10:00~17:00
3,3,강북문화정보도서관,취업지원형,"서울 강북구 오현로 145 (번동, 강북문화정보도서관)",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1181,02-944-3100,평일(월-금) 09:00~23:00 
4,4,영풍문고김포공항점,취업지원형,"서울 강서구 하늘길 38 (방화동, 공항초소) ",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1054,02-6116-5544 / 02-2600-6369,매일 10:30~22:00
5,4,곰달래도서관,순수공간,"서울 강서구 강서로5길 50 (화곡동, 복지문화센터및공영주차장)",https://blog.naver.com/gdl_library,"02-2065-3785,6",평일(화-금) 12:00~20:00 
6,4,커피랑도서관 강서본점,순수공간,서울 강서구 강서로 243 (화곡동),https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1760,070-4125-1140,평일(월-금)  9:00~24:00
7,4,서울청년센터 강서오랑,통합지원형,서울 강서구 강서로 231 101동 2층 서울청년센터 강서오랑,https://blog.naver.com/gangseoorang,02-2602-5650,평일(월-금) 10:00~22:00 토 10:00~17:00
8,5,비즈액티브 신림,취업지원형,"서울 관악구 신림로 340 (신림동, 르네상스복합쇼핑몰) ",https://job.seoul.go.kr/www/jobCafe/jobCafe.do?method=getCafeView&cafeSn=1056,02-882-4100,수 15:00~18:00
9,5,청년공간 이음,통합지원형,"서울 관악구 봉천로62길 5 (봉천동, 옥산빌딩)",http://i-eum.net/,02-873-3575,평일(월-금) 10:00~21:00 토 10:00~18:00
10,5,서울청년센터 관악오랑,통합지원형,서울 관악구 신림로 91 302호,https://blog.naver.com/sillim3room,02-878-0823,"평일(화-금),토 :10:00~22:00 월:10:00~18:00 "
