PROGRAM_ID,CENTER_ID,PROGRAM_NAME,PROGRAM_TIME,PROGRAM_CONTENT,PROGRAM_NUM
1,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-1부,2023-06-09 14:00 ~ 15:10,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
2,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-2부,2023-06-09 15:20 ~ 16:30,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
3,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-3부,2023-06-09 16:40 ~ 17:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
4,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-1부,2023-06-16 14:00 ~ 15:10,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
5,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-2부,2023-06-16 15:20 ~ 16:30,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
6,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-3부,2023-06-16 16:40 ~ 17:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
7,1,[오프라인] 호감얻고 신뢰감 주는 스피치 실습 _ 1분 스피치 만들기,2023-06-21 14:00 ~ 15:30,☆스피치 실습☆ 멘토링_1분 스피치 만들기,
8,1,[오프라인] 호감얻고 신뢰감 주는 스피치 실습 _ 피드백 및 트레이닝,2023-06-21 15:30 ~ 17:00,☆스피치 실습☆ 멘토링_피드백 및 트레이닝,
9,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-1부,2023-06-30 14:00 ~ 15:10,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
10,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-2부,2023-06-30 15:20 ~ 16:30,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
11,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-3부,2023-06-30 16:40 ~ 17:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
12,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-1부,2023-06-02 14:00 ~ 15:10,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
13,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-2부,2023-06-02 15:20 ~ 16:30,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
14,1,[대면상담] 1:1 개인역량 맞춤 취업컨설팅-3부,2023-06-02 16:40 ~ 17:50,강점을 찾아 자신감 있는 자소서& 면접 준비하기(☎02-731-9576),
15,2,"강동오랑 자율 독서모임 ""일주일 한시간""",매주화요일 오전10시30분/오후8시,자율 독서모임,만19세~39세청년
16,7,강서오랑 IT 역량 강화 프로그램,상시(온라인 ZOOM),분아별 취업 전문가가 맞춤형 무료상담을 통해 나의 취업 고민을 해결해주는 프로그램,만19세~39세청년
17,10,관악오랑 신림동쓰리룸 6월 오랑티톡 <나다운 바른 글씨 쓰기>,"2023년 6월 1일, 6월 8일 (목) 19:30 ~ 21:30",글씨체 연습,청년 (19세 ~ 39세) / 회당 10명
18,17,노원오랑 1:1 취업멘토링,5월 10일부터 매주 수요일 오후 19시(4회차),"1, 2회차: 기초 문서작성과 ITQ 자격증 꿀팁, 3, 4회차: 포토샵 기초",만19세~39세청년
19,26,[대면상담] 논리력&설득력 강화를 위한 입사 지원(자기소개서&면접) 컨설팅-1부,2023-06-02 14:00 ~ 15:10,지원한 기업에서 어필하는 자기소개서(이력서) 첨삭&코칭/▣ 문의:02-731-9572,
